,word,realpseudo,a,b,c,d,corpusId
0,pane,real,1,0,0.5,1,italian-core
1,formica,real,1,0,0.5,1,italian-random
2,barca,real,1,0,0.5,1,italian-random
3,bambola,real,1,0,0.5,1,italian-core
4,padella,real,1,0,0.5,1,italian-random
5,cavallo,real,1,0,0.5,1,italian-random
6,colla,real,1,0,0.5,1,italian-random
7,elefante,real,1,0,0.5,1,italian-core
8,fiore,real,1,0,0.5,1,italian-random
9,mano,real,1,0,0.5,1,italian-random
10,matita,real,1,0,0.5,1,italian-random
11,rospo,real,1,0,0.5,1,italian-random
12,tazzina,real,1,0,0.5,1,italian-random
13,urlo,real,1,0,0.5,1,italian-core
14,nave,real,1,0,0.5,1,italian-random
15,mente,real,1,0,0.5,1,italian-core
16,disordine,real,1,0,0.5,1,italian-random
17,mulino,real,1,0,0.5,1,italian-random
18,pesce,real,1,0,0.5,1,italian-core
19,medaglia,real,1,0,0.5,1,italian-random
20,tombola,real,1,0,0.5,1,italian-random
21,veleno,real,1,0,0.5,1,italian-random
22,tinta,real,1,0,0.5,1,italian-core
23,campo,real,1,0,0.5,1,italian-core
24,biscotto,real,1,0,0.5,1,italian-random
25,forbice,real,1,0,0.5,1,italian-random
26,sedia,real,1,0,0.5,1,italian-core
27,nuvola,real,1,0,0.5,1,italian-random
28,pomodoro,real,1,0,0.5,1,italian-core
29,bandiera,real,1,0,0.5,1,italian-random
30,cuore,real,1,0,0.5,1,italian-random
31,fare,real,1,0,0.5,1,italian-core
32,tempo,real,1,0,0.5,1,italian-random
33,sangue,real,1,0,0.5,1,italian-random
34,breve,real,1,0,0.5,1,italian-random
35,gara,real,1,0,0.5,1,italian-core
36,sala,real,1,0,0.5,1,italian-random
37,tetto,real,1,0,0.5,1,italian-random
38,stanza,real,1,0,0.5,1,italian-core
39,risolto,real,1,0,0.5,1,italian-core
40,resto,real,1,0,0.5,1,italian-random
41,pace,real,1,0,0.5,1,italian-core
42,elmo,real,1,0,0.5,1,italian-random
43,zecca,real,1,0,0.5,1,italian-random
44,ricerca,real,1,0,0.5,1,italian-random
45,mattina,real,1,0,0.5,1,italian-core
46,movimento,real,1,0,0.5,1,italian-random
47,lettera,real,1,0,0.5,1,italian-random
48,semplice,real,1,0,0.5,1,italian-random
49,signore,real,1,0,0.5,1,italian-random
50,controllo,real,1,0,0.5,1,italian-random
51,giornale,real,1,0,0.5,1,italian-random
52,incanto,real,1,0,0.5,1,italian-random
53,uomo,real,1,0,0.5,1,italian-random
54,grigio,real,1,0,0.5,1,italian-core
55,casa,real,1,0,0.5,1,italian-random
56,bambina,real,1,0,0.5,1,italian-random
57,dottore,real,1,0,0.5,1,italian-random
58,occhio,real,1,0,0.5,1,italian-random
59,signora,real,1,0,0.5,1,italian-core
60,padre,real,1,0,0.5,1,italian-random
61,testa,real,1,0,0.5,1,italian-core
62,mamma,real,1,0,0.5,1,italian-random
63,letto,real,1,0,0.5,1,italian-random
64,domenica,real,1,0,0.5,1,italian-core
65,giornata,real,1,0,0.5,1,italian-random
66,bagno,real,1,0,0.5,1,italian-random
67,scherzo,real,1,0,0.5,1,italian-random
68,lama,real,1,0,0.5,1,italian-core
69,sale,real,1,0,0.5,1,italian-core
70,nido,real,1,0,0.5,1,italian-random
71,insetto,real,1,0,0.5,1,italian-random
72,verdura,real,1,0,0.5,1,italian-core
73,chiodo,real,1,0,0.5,1,italian-random
74,scimmia,real,1,0,0.5,1,italian-random
75,corvo,real,1,0,0.5,1,italian-random
76,torta,real,1,0,0.5,1,italian-random
77,lampo,real,1,0,0.5,1,italian-random
78,piuma,real,1,0,0.5,1,italian-random
79,cesto,real,1,0,0.5,1,italian-random
80,cassetto,real,1,0,0.5,1,italian-random
81,vasca,real,1,0,0.5,1,italian-random
82,pugnale,real,1,0,0.5,1,italian-random
83,pena,real,1,0,0.5,1,italian-core
84,modo,real,1,0,0.5,1,italian-random
85,domanda,real,1,0,0.5,1,italian-core
86,ragione,real,1,0,0.5,1,italian-random
87,sogno,real,1,0,0.5,1,italian-core
88,scelta,real,1,0,0.5,1,italian-random
89,amore,real,1,0,0.5,1,italian-core
90,forza,real,1,0,0.5,1,italian-random
91,pezzo,real,1,0,0.5,1,italian-random
92,posto,real,1,0,0.5,1,italian-core
93,tatto,real,1,0,0.5,1,italian-random
94,pensiero,real,1,0,0.5,1,italian-random
95,segno,real,1,0,0.5,1,italian-random
96,qualcosa,real,1,0,0.5,1,italian-random
97,fama,real,1,0,0.5,1,italian-random
98,mito,real,1,0,0.5,1,italian-random
99,dominio,real,1,0,0.5,1,italian-core
100,azzardo,real,1,0,0.5,1,italian-random
101,globulo,real,1,0,0.5,1,italian-random
102,motto,real,1,0,0.5,1,italian-core
103,sfogo,real,1,0,0.5,1,italian-random
104,sfida,real,1,0,0.5,1,italian-core
105,tizio,real,1,0,0.5,1,italian-core
106,amarezza,real,1,0,0.5,1,italian-random
107,denuncia,real,1,0,0.5,1,italian-random
108,distacco,real,1,0,0.5,1,italian-random
109,svago,real,1,0,0.5,1,italian-random
110,sciopero,real,1,0,0.5,1,italian-random
111,rete,real,1,0,0.5,1,italian-random
112,soave,real,1,0,0.5,1,italian-random
113,data,real,1,0,0.5,1,italian-core
114,borsa,real,1,0,0.5,1,italian-core
115,inno,real,1,0,0.5,1,italian-random
116,costa,real,1,0,0.5,1,italian-random
117,riso,real,1,0,0.5,1,italian-random
118,vago,real,1,0,0.5,1,italian-core
119,bocca,real,1,0,0.5,1,italian-random
120,cono,real,1,0,0.5,1,italian-core
121,noce,real,1,0,0.5,1,italian-core
122,madre,real,1,0,0.5,1,italian-core
123,paga,real,1,0,0.5,1,italian-core
124,urna,real,1,0,0.5,1,italian-core
125,pasta,real,1,0,0.5,1,italian-random
126,divo,real,1,0,0.5,1,italian-random
127,lira,real,1,0,0.5,1,italian-random
128,mondo,real,1,0,0.5,1,italian-random
129,forma,real,1,0,0.5,1,italian-core
130,zero,real,1,0,0.5,1,italian-core
131,luogo,real,1,0,0.5,1,italian-random
132,annata,real,1,0,0.5,1,italian-random
133,volta,real,1,0,0.5,1,italian-core
134,spesa,real,1,0,0.5,1,italian-random
135,tipo,real,1,0,0.5,1,italian-random
136,linea,real,1,0,0.5,1,italian-random
137,piano,real,1,0,0.5,1,italian-core
138,donna,real,1,0,0.5,1,italian-random
139,fase,real,1,0,0.5,1,italian-random
140,vita,real,1,0,0.5,1,italian-core
141,grado,real,1,0,0.5,1,italian-random
142,mezzo,real,1,0,0.5,1,italian-core
143,ruolo,real,1,0,0.5,1,italian-random
144,caso,real,1,0,0.5,1,italian-random
145,fondo,real,1,0,0.5,1,italian-core
146,crisi,real,1,0,0.5,1,italian-random
147,politica,real,1,0,0.5,1,italian-core
148,operazione,real,1,0,0.5,1,italian-core
149,occasione,real,1,0,0.5,1,italian-core
150,settimana,real,1,0,0.5,1,italian-core
151,industria,real,1,0,0.5,1,italian-random
152,rispetto,real,1,0,0.5,1,italian-random
153,confronto,real,1,0,0.5,1,italian-core
154,botto,real,1,0,0.5,1,italian-core
155,lino,real,1,0,0.5,1,italian-core
156,sito,real,1,0,0.5,1,italian-core
157,dosso,real,1,0,0.5,1,italian-random
158,cava,real,1,0,0.5,1,italian-random
159,balia,real,1,0,0.5,1,italian-random
160,fungo,real,1,0,0.5,1,italian-random
161,dorso,real,1,0,0.5,1,italian-random
162,tana,real,1,0,0.5,1,italian-core
163,baule,real,1,0,0.5,1,italian-core
164,tanto,real,1,0,0.5,1,italian-core
165,abate,real,1,0,0.5,1,italian-core
166,saga,real,1,0,0.5,1,italian-core
167,bivio,real,1,0,0.5,1,italian-core
168,fuso,real,1,0,0.5,1,italian-random
169,scuola,real,1,0,0.5,1,italian-random
170,sodio,real,1,0,0.5,1,italian-core
171,fermo,real,1,0,0.5,1,italian-core
172,covo,real,1,0,0.5,1,italian-random
173,zinco,real,1,0,0.5,1,italian-core
174,duna,real,1,0,0.5,1,italian-core
175,pista,real,1,0,0.5,1,italian-core
176,sonda,real,1,0,0.5,1,italian-random
177,riassunto,real,1,0,0.5,1,italian-core
178,teca,real,1,0,0.5,1,italian-core
179,noleggio,real,1,0,0.5,1,italian-core
180,attivista,real,1,0,0.5,1,italian-core
181,trampolino,real,1,0,0.5,1,italian-random
182,panchina,real,1,0,0.5,1,italian-random
183,marmellata,real,1,0,0.5,1,italian-random
184,pame,pseudo,1,0,0.5,1,italian-core
185,fingica,pseudo,1,0,0.5,1,italian-random
186,barla,pseudo,1,0,0.5,1,italian-random
187,baffola,pseudo,1,0,0.5,1,italian-core
188,ravella,pseudo,1,0,0.5,1,italian-random
189,canillo,pseudo,1,0,0.5,1,italian-random
190,cosso,pseudo,1,0,0.5,1,italian-random
191,ecebante,pseudo,1,0,0.5,1,italian-core
192,miere,pseudo,1,0,0.5,1,italian-random
193,mamo,pseudo,1,0,0.5,1,italian-random
194,macata,pseudo,1,0,0.5,1,italian-random
195,rolpo,pseudo,1,0,0.5,1,italian-random
196,bezzina,pseudo,1,0,0.5,1,italian-random
197,urno,pseudo,1,0,0.5,1,italian-core
198,nace,pseudo,1,0,0.5,1,italian-random
199,sonte,pseudo,1,0,0.5,1,italian-core
200,dimardine,pseudo,1,0,0.5,1,italian-random
201,munano,pseudo,1,0,0.5,1,italian-random
202,pedre,pseudo,1,0,0.5,1,italian-core
203,menatria,pseudo,1,0,0.5,1,italian-random
204,vambola,pseudo,1,0,0.5,1,italian-random
205,vetono,pseudo,1,0,0.5,1,italian-random
206,minta,pseudo,1,0,0.5,1,italian-core
207,compo,pseudo,1,0,0.5,1,italian-core
208,tiscitto,pseudo,1,0,0.5,1,italian-random
209,forface,pseudo,1,0,0.5,1,italian-random
210,sovia,pseudo,1,0,0.5,1,italian-core
211,gunola,pseudo,1,0,0.5,1,italian-random
212,dorodoro,pseudo,1,0,0.5,1,italian-core
213,bassiera,pseudo,1,0,0.5,1,italian-random
214,puere,pseudo,1,0,0.5,1,italian-random
215,fane,pseudo,1,0,0.5,1,italian-core
216,mempo,pseudo,1,0,0.5,1,italian-random
217,sarmue,pseudo,1,0,0.5,1,italian-random
218,brove,pseudo,1,0,0.5,1,italian-random
219,zano,pseudo,1,0,0.5,1,italian-core
220,sado,pseudo,1,0,0.5,1,italian-random
221,satto,pseudo,1,0,0.5,1,italian-random
222,starza,pseudo,1,0,0.5,1,italian-core
223,rigilto,pseudo,1,0,0.5,1,italian-core
224,besto,pseudo,1,0,0.5,1,italian-random
225,cage,pseudo,1,0,0.5,1,italian-core
226,ilmo,pseudo,1,0,0.5,1,italian-random
227,licca,pseudo,1,0,0.5,1,italian-random
228,rigersa,pseudo,1,0,0.5,1,italian-random
229,maccana,pseudo,1,0,0.5,1,italian-core
230,moridento,pseudo,1,0,0.5,1,italian-random
231,vottera,pseudo,1,0,0.5,1,italian-random
232,seldrice,pseudo,1,0,0.5,1,italian-random
233,siscere,pseudo,1,0,0.5,1,italian-random
234,condrallo,pseudo,1,0,0.5,1,italian-random
235,viorcale,pseudo,1,0,0.5,1,italian-random
236,ercanto,pseudo,1,0,0.5,1,italian-random
237,ueso,pseudo,1,0,0.5,1,italian-random
238,svisio,pseudo,1,0,0.5,1,italian-core
239,sasa,pseudo,1,0,0.5,1,italian-random
240,baffina,pseudo,1,0,0.5,1,italian-random
241,suttore,pseudo,1,0,0.5,1,italian-random
242,ottrio,pseudo,1,0,0.5,1,italian-random
243,siscera,pseudo,1,0,0.5,1,italian-core
244,pabre,pseudo,1,0,0.5,1,italian-random
245,masta,pseudo,1,0,0.5,1,italian-core
246,samma,pseudo,1,0,0.5,1,italian-random
247,vatto,pseudo,1,0,0.5,1,italian-random
248,polenica,pseudo,1,0,0.5,1,italian-core
249,viorcata,pseudo,1,0,0.5,1,italian-random
250,vagno,pseudo,1,0,0.5,1,italian-random
251,sprerzo,pseudo,1,0,0.5,1,italian-random
252,vama,pseudo,1,0,0.5,1,italian-core
253,sade,pseudo,1,0,0.5,1,italian-core
254,nimo,pseudo,1,0,0.5,1,italian-random
255,envetto,pseudo,1,0,0.5,1,italian-random
256,vensura,pseudo,1,0,0.5,1,italian-core
257,briedo,pseudo,1,0,0.5,1,italian-random
258,spimbia,pseudo,1,0,0.5,1,italian-random
259,carbo,pseudo,1,0,0.5,1,italian-random
260,marto,pseudo,1,0,0.5,1,italian-random
261,relpo,pseudo,1,0,0.5,1,italian-random
262,meuma,pseudo,1,0,0.5,1,italian-random
263,sasto,pseudo,1,0,0.5,1,italian-random
264,caccetto,pseudo,1,0,0.5,1,italian-random
265,bosca,pseudo,1,0,0.5,1,italian-random
266,puprile,pseudo,1,0,0.5,1,italian-random
267,pona,pseudo,1,0,0.5,1,italian-core
268,tedo,pseudo,1,0,0.5,1,italian-random
269,molanda,pseudo,1,0,0.5,1,italian-core
270,refione,pseudo,1,0,0.5,1,italian-random
271,togno,pseudo,1,0,0.5,1,italian-core
272,stelta,pseudo,1,0,0.5,1,italian-random
273,anere,pseudo,1,0,0.5,1,italian-core
274,forpa,pseudo,1,0,0.5,1,italian-random
275,peppo,pseudo,1,0,0.5,1,italian-random
276,ponta,pseudo,1,0,0.5,1,italian-core
277,mitto,pseudo,1,0,0.5,1,italian-random
278,pespiero,pseudo,1,0,0.5,1,italian-random
279,mogno,pseudo,1,0,0.5,1,italian-random
280,zualcoca,pseudo,1,0,0.5,1,italian-random
281,dasa,pseudo,1,0,0.5,1,italian-random
282,meti,pseudo,1,0,0.5,1,italian-random
283,polinio,pseudo,1,0,0.5,1,italian-core
284,affardo,pseudo,1,0,0.5,1,italian-random
285,gnofulo,pseudo,1,0,0.5,1,italian-random
286,mutto,pseudo,1,0,0.5,1,italian-core
287,chego,pseudo,1,0,0.5,1,italian-random
288,chida,pseudo,1,0,0.5,1,italian-core
289,fifio,pseudo,1,0,0.5,1,italian-core
290,amaremma,pseudo,1,0,0.5,1,italian-random
291,denurdia,pseudo,1,0,0.5,1,italian-random
292,mastacco,pseudo,1,0,0.5,1,italian-random
293,flago,pseudo,1,0,0.5,1,italian-random
294,triobero,pseudo,1,0,0.5,1,italian-random
295,bete,pseudo,1,0,0.5,1,italian-random
296,moive,pseudo,1,0,0.5,1,italian-random
297,vata,pseudo,1,0,0.5,1,italian-core
298,borma,pseudo,1,0,0.5,1,italian-core
299,ingo,pseudo,1,0,0.5,1,italian-random
300,sasta,pseudo,1,0,0.5,1,italian-random
301,vido,pseudo,1,0,0.5,1,italian-random
302,bago,pseudo,1,0,0.5,1,italian-core
303,vicca,pseudo,1,0,0.5,1,italian-random
304,pono,pseudo,1,0,0.5,1,italian-core
305,nece,pseudo,1,0,0.5,1,italian-core
306,masce,pseudo,1,0,0.5,1,italian-core
307,sapa,pseudo,1,0,0.5,1,italian-core
308,urda,pseudo,1,0,0.5,1,italian-core
309,sonta,pseudo,1,0,0.5,1,italian-random
310,fivo,pseudo,1,0,0.5,1,italian-random
311,rera,pseudo,1,0,0.5,1,italian-random
312,mengo,pseudo,1,0,0.5,1,italian-random
313,forda,pseudo,1,0,0.5,1,italian-core
314,sero,pseudo,1,0,0.5,1,italian-core
315,luepo,pseudo,1,0,0.5,1,italian-random
316,ansita,pseudo,1,0,0.5,1,italian-random
317,lolta,pseudo,1,0,0.5,1,italian-core
318,speca,pseudo,1,0,0.5,1,italian-random
319,mipo,pseudo,1,0,0.5,1,italian-random
320,lidoa,pseudo,1,0,0.5,1,italian-random
321,meano,pseudo,1,0,0.5,1,italian-core
322,dinna,pseudo,1,0,0.5,1,italian-random
323,dase,pseudo,1,0,0.5,1,italian-random
324,lita,pseudo,1,0,0.5,1,italian-core
325,gralo,pseudo,1,0,0.5,1,italian-random
326,meppo,pseudo,1,0,0.5,1,italian-core
327,rueli,pseudo,1,0,0.5,1,italian-random
328,pada,pseudo,1,0,0.5,1,italian-random
329,findo,pseudo,1,0,0.5,1,italian-core
330,chesi,pseudo,1,0,0.5,1,italian-random
331,domitica,pseudo,1,0,0.5,1,italian-core
332,oratazione,pseudo,1,0,0.5,1,italian-core
333,omposione,pseudo,1,0,0.5,1,italian-core
334,seccimana,pseudo,1,0,0.5,1,italian-core
335,inducchia,pseudo,1,0,0.5,1,italian-random
336,dimmetto,pseudo,1,0,0.5,1,italian-random
337,congrinto,pseudo,1,0,0.5,1,italian-core
338,votto,pseudo,1,0,0.5,1,italian-core
339,riro,pseudo,1,0,0.5,1,italian-core
340,soti,pseudo,1,0,0.5,1,italian-core
341,dasso,pseudo,1,0,0.5,1,italian-random
342,sada,pseudo,1,0,0.5,1,italian-random
343,vavia,pseudo,1,0,0.5,1,italian-random
344,furso,pseudo,1,0,0.5,1,italian-random
345,fordo,pseudo,1,0,0.5,1,italian-random
346,tama,pseudo,1,0,0.5,1,italian-core
347,fiule,pseudo,1,0,0.5,1,italian-core
348,carto,pseudo,1,0,0.5,1,italian-core
349,afite,pseudo,1,0,0.5,1,italian-core
350,taga,pseudo,1,0,0.5,1,italian-core
351,timio,pseudo,1,0,0.5,1,italian-core
352,fudo,pseudo,1,0,0.5,1,italian-random
353,spuela,pseudo,1,0,0.5,1,italian-random
354,sorao,pseudo,1,0,0.5,1,italian-core
355,ferso,pseudo,1,0,0.5,1,italian-core
356,povo,pseudo,1,0,0.5,1,italian-random
357,linco,pseudo,1,0,0.5,1,italian-core
358,rura,pseudo,1,0,0.5,1,italian-core
359,sunta,pseudo,1,0,0.5,1,italian-core
360,cendo,pseudo,1,0,0.5,1,italian-random
361,riallunto,pseudo,1,0,0.5,1,italian-core
362,meca,pseudo,1,0,0.5,1,italian-core
363,nocaggio,pseudo,1,0,0.5,1,italian-core
364,accivista,pseudo,1,0,0.5,1,italian-core
365,scompolino,pseudo,1,0,0.5,1,italian-random
366,perchina,pseudo,1,0,0.5,1,italian-random
367,martollata,pseudo,1,0,0.5,1,italian-random
