identifier,label,de,en,en-us,es-co,es
auth/consent.acceptButton,acceptButton,Akzeptieren,Accept,Accept,Aceptar,Aceptar
auth/consent.assentTitle,assentTitle,,Assent,Assent,Asentimiento,Asentimiento
auth/consent.consentTitle,consentTitle,,Consent,Consent,Consentimiento,Consentimiento
auth/consent.consentUpdatedStatus,consentUpdatedStatus,Zustimmungsstatus aktualisiert,Consent status updated,Consent status updated,,Estado de consentimiento actualizado
auth/consent.header,header,Zustimmung,Consent,Consent,Consentimiento,Consentimiento
auth/consent.rejectButton,rejectButton,"Nein, mich abmelden","No, sign me out","No, sign me out","No, cerrar sesión","No, cerrar sesión"
auth/consent.title,title,Zustimmung,,,,
auth/consent.toastHeader,toastHeader,Bestätigt,Confirmed,Confirmed,Confirmado,Confirmado
auth/signin.atLeastOneLowercase,atLeastOneLowercase,Mindestens ein Kleinbuchstabe,At least one lowercase,At least one lowercase,Al menos una letra minúscula,Al menos una minúscula
auth/signin.atLeastOneNumber,atLeastOneNumber,Mindestens eine Zahl,At least one number,At least one number,Al menos un número,Al menos un número
auth/signin.atLeastOneNumeric,atLeastOneNumeric,Mindestens eine Nummer,At least one numeric,At least one numeric,Al menos un numéro,Al menos un numérico
auth/signin.atLeastOneUpperCase,atLeastOneUpperCase,Mindestens ein Großbuchstabe,At least one uppercase,At least one uppercase,Al menos una letra mayúscula,Al menos una mayúscula
auth/signin.buttonLabel,buttonLabel,Los!,Go!,Go!,¡Vamos!,¡Vamos!
auth/signin.continueWithGoogle,continueWithGoogle,Machen Sie weiter mit Google,Continue with Google,Continue with Google,Sigue adelante con Google,Sigue adelante con Google
auth/signin.emailId,emailId,E-Mail,email,email,correo electrónico,correo electrónico
auth/signin.emailPlaceholder,emailPlaceholder,Benutzername oder E-Mail,Username or email,Username or email,Nombre de usuario o correo electrónico,Nombre de usuario o correo electrónico
auth/signin.forgotPassword,forgotPassword,Passwort vergessen?,Forgot Password?,Forgot Password?,¿Olvidaste tu contraseña?,¿Olvidaste tu contraseña?
auth/signin.incorrectEmailOrPassword,incorrectEmailOrPassword,Falscher Benutzername/E-Mail oder Passwort,Incorrect username/email or password,Incorrect username/email or password,Nombre de usuario/correo electrónico o contraseña incorrectos,Nombre de usuario/correo electrónico o contraseña incorrectos
auth/signin.invalidEmailPlaceholder,invalidEmailPlaceholder,Fehler: Ungültige E-Mail,Error: invalid email,Error: invalid email,Error: el correo electrónico no es válido,Error: correo electrónico no válido
auth/signin.minimumCharacters,minimumCharacters,Mindestens 8 Zeichen,Minimum 8 characters,Minimum 8 characters,Mínimo 8 caracteres,Mínimo 8 caracteres
auth/signin.pageTitle,pageTitle,,,,Iniciar sesión,Iniciar sesión
auth/signin.passwordId,passwordId,Passwort,password,password,contraseña,contraseña
auth/signin.passwordPlaceholder,passwordPlaceholder,Passwort,Password,Password,Contraseña,Contraseña
auth/signin.pickPassword,pickPassword,Wählen Sie ein Passwort,Pick a password,Pick a password,Elige una contraseña,Elige una contraseña
auth/signin.selectLanguage,selectLanguage,Sprache auswählen,Select Language,Select Language,Seleccionar idioma,Seleccionar idioma
auth/signin.selectLanguageLabel,selectLanguageLabel,Sprache,Language,Language,Idioma,Idioma
auth/signin.signInWithEmailLinkInstead,signInWithEmailLinkInstead,Mit E-Mail-Link anmelden,Sign-in using email link,Sign-in using email link,Iniciar sesión con enlace de correo electrónico,Iniciar sesión con enlace de correo electrónico
auth/signin.signInWithEmailLinkPlaceHolder,signInWithEmailLinkPlaceHolder,"Drücken Sie „Los“, um sich mit einem E-Mail-Link anzumelden.",Press Go to sign-in with an email link.,Press Go to sign-in with an email link.,Presiona Vamos para iniciar sesión con un enlace de correo electrónico.,Presiona Go para iniciar sesión con un enlace de correo electrónico.
auth/signin.signInWithPasswordInstead,signInWithPasswordInstead,Mit Passwort anmelden,Sign-in using password,Sign-in using password,Iniciar sesión con contraseña,Iniciar sesión con contraseña
auth/signin.suggestions,suggestions,Vorschläge,Suggestions,Suggestions,Sugerencias,Sugerencias